epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,128.948,0.64576,0.44314,0.90111,0.87735,0.91456,0.90302,0.68872,0.96906,0.65982,1.03867,0.000359409,0.000359409,0.000359409
43,131.663,0.6152,0.4195,0.8736,0.88848,0.92924,0.90305,0.69219,0.97441,0.61915,1.04525,0.000341077,0.000341077,0.000341077
44,134.992,0.62761,0.42478,0.87812,0.89645,0.92727,0.8926,0.69377,1.01152,0.70358,1.07088,0.000322745,0.000322745,0.000322745
45,137.781,0.61662,0.41702,0.9058,0.88131,0.91945,0.88657,0.69561,1.02462,0.72094,1.07567,0.000304414,0.000304414,0.000304414
46,140.426,0.59601,0.42302,0.86765,0.88945,0.92603,0.8783,0.6841,1.02436,0.72796,1.07193,0.000286083,0.000286083,0.000286083
47,143.053,0.6241,0.46456,0.90798,0.8827,0.93153,0.88318,0.68785,1.03308,0.75329,1.06158,0.000267751,0.000267751,0.000267751
48,145.979,0.58402,0.38615,0.86516,0.87498,0.89138,0.85727,0.67247,1.01483,0.78644,1.041,0.00024942,0.00024942,0.00024942
49,149.219,0.55108,0.36644,0.86273,0.8788,0.89316,0.85762,0.67908,0.99259,0.77942,1.02737,0.000231088,0.000231088,0.000231088
50,151.936,0.53929,0.36702,0.85852,0.88049,0.90545,0.85621,0.6837,0.98341,0.80836,1.02782,0.000212757,0.000212757,0.000212757
51,161.025,0.52601,0.36767,0.85473,0.88101,0.90545,0.8469,0.6787,0.98638,0.79418,1.03129,0.000194425,0.000194425,0.000194425
52,165.055,0.49104,0.32497,0.82342,0.87581,0.90545,0.85638,0.6795,0.98655,0.73998,1.03416,0.000176094,0.000176094,0.000176094
53,168.151,0.46049,0.31801,0.83127,0.87503,0.90545,0.86396,0.68052,0.98996,0.71512,1.03397,0.000157762,0.000157762,0.000157762
54,171.568,0.48415,0.31134,0.83011,0.88449,0.93185,0.89269,0.70822,1.0084,0.66437,1.04599,0.000139431,0.000139431,0.000139431
55,175.382,0.48321,0.32676,0.82451,0.90087,0.94545,0.89351,0.70637,1.00754,0.6532,1.05637,0.000121099,0.000121099,0.000121099
56,177.903,0.45477,0.286,0.82499,0.90413,0.94545,0.9076,0.71984,0.99726,0.61211,1.04819,0.000102768,0.000102768,0.000102768
57,180.432,0.43884,0.29602,0.81762,0.91169,0.94445,0.92978,0.72568,0.99932,0.58519,1.04986,8.4436e-05,8.4436e-05,8.4436e-05
58,183.204,0.47294,0.3131,0.83532,0.92356,0.94621,0.93217,0.7176,1.0075,0.5532,1.0511,6.61045e-05,6.61045e-05,6.61045e-05
59,186.5,0.45421,0.298,0.81561,0.92187,0.96127,0.9325,0.71447,1.00985,0.5213,1.05216,4.7773e-05,4.7773e-05,4.7773e-05
60,189.454,0.42069,0.28548,0.82149,0.921,0.96364,0.93286,0.71763,0.9975,0.51468,1.04756,2.94415e-05,2.94415e-05,2.94415e-05
